P_NAME,P_DETECTION,P_DISCOVERY_FACILITY,P_YEAR,P_MASS,P_MASS_ORIGIN,P_RADIUS,P_PERIOD,P_SEMI_MAJOR_AXIS,P_ECCENTRICITY,P_INCLINATION,P_OMEGA,S_NAME,S_TYPE,S_MAG,S_DISTANCE,S_TEMPERATURE,S_MASS,S_RADIUS,S_METALLICITY,S_AGE,S_LOG_LUM,S_LOG_G,P_ESCAPE,P_POTENTIAL,P_GRAVITY,P_DENSITY,P_HILL_SPHERE,P_DISTANCE,P_PERIASTRON,P_APASTRON,P_DISTANCE_EFF,P_FLUX,P_TEMP_EQUIL,P_TEMP_SURF,P_TYPE,S_TYPE_TEMP,S_LUMINOSITY,S_SNOW_LINE,S_ABIO_ZONE,S_TIDAL_LOCK,P_HABZONE_OPT,P_HABZONE_CON,P_TYPE_TEMP,P_HABITABLE,P_ESI,HABITABILITY
HD 87883 b,Radial Velocity,Lick Observatory,2009,1719.1338,Mass,12.8,3309.2212,4.055,0.707,25.446,289.351,HD 87883,K0,7.56,18.2912,4980.0,0.81,0.8,0.093,7.6,-0.471,4.55,11.589104,134.30733,10.49276,0.8197469,0.15272798,5.0684438,1.188115,6.921885,4.3638347,0.029071518,92.985571,,Jovian,K,0.33806484,1.5698703,0.48007581,0.46757948,0,0,Cold,0,0.099627798,0
HD 45350 b,Radial Velocity,W. M. Keck Observatory,2004,568.89,Msini,13.5,963.6,1.92,0.778,,343.4,HD 45350,G5 V,7.89,46.8733,5566.0,0.98,1.26,0.23,8.0,0.141,4.23,6.4915329,42.14,3.1214815,0.23122085,0.035566423,2.5010726,0.42624,3.41376,2.1070916,0.59738619,190.33033,,Jovian,G,1.3835664,3.1758777,1.3999589,0.50251442,1,0,Warm,0,0.36490562,0
HD 47186 b,Radial Velocity,La Silla Observatory,2008,22.2481,Msini,5.02,4.0845,0.05,0.04,,59.0,HD 47186,G6 V,7.63,37.4574,5657.0,0.96,1.08,0.24,6.5,0.043,4.36,2.105206,4.4318924,0.8828471,0.17586596,0.0013688853,0.05004,0.048,0.052,0.050010005,441.98518,1167.6731,,Neptunian,G,1.1040786,2.8370289,1.6256501,0.48209668,0,0,Hot,0,0.15238189,0
HD 60532 b,Radial Velocity,La Silla Observatory,2008,336.8998,Msini,13.8,201.9,0.77,0.26,,-3.7,HD 60532,F6 IV,4.44,25.9716,6245.0,1.5,2.57,-0.26,2.8,1.001,3.8,4.9409543,24.413029,1.7690601,0.12819276,0.034645289,0.796026,0.5698,0.9702,0.77665559,17.507229,514.32244,,Jovian,F,10.023052,8.5479853,5.1802548,0.48616266,0,0,Hot,0,0.12149626,0
K2-175 b,Transit,K2,2018,4.81,M-R relationship,2.038,9.525988,0.090488164,,87.494,,K2-175,,10.836,247.266,5909.0,1.09,1.42,0.05,,0.419,4.11,1.5362803,2.360157,1.1580751,0.56824096,0.0014846243,0.090488164,0.090488164,0.090488164,0.090488164,320.49145,1077.8388,1217.2496,Superterran,G,2.6242185,4.3738488,2.6147724,0.47478096,0,0,Hot,0,0.25691975,0
HD 83443 b,Radial Velocity,Multiple Observatories,2002,127.76702,Msini,14.1,2.985628,0.0406,0.012,,344.0,HD 83443,K0 V,8.23,40.8991,5442.0,1.0,0.94,0.34,2.64,-0.104,4.39,3.010231,9.0614908,0.64265892,0.045578647,0.0020208829,0.040602923,0.0401128,0.0410872,0.040600731,477.50641,1190.7834,,Jovian,K,0.78704579,2.3953212,1.1389937,0.42055761,0,0,Hot,0,0.066110153,0
K2-207 b,Transit,K2,2018,7.3,M-R relationship,2.606,12.48749,0.10316577,,88.62,,K2-207,,13.175,363.064,5522.0,0.94,0.93,0.11,,-0.173,4.41,1.6736869,2.8012279,1.0749148,0.41247689,0.0020435529,0.10316577,0.10316577,0.10316577,0.10316577,63.085378,717.92965,,Neptunian,G,0.67142885,2.2124006,1.2801279,0.4519188,0,0,Hot,0,0.24604026,0
HD 29399 b,Radial Velocity,La Silla Observatory,2022,498.9906,Msini,13.5,892.7,1.913,0.05,,-13.1,HD 29399,K1 III,5.79,44.1518,4845.0,1.17,4.5,0.14,6.2,1.002,3.25,6.0796601,36.962267,2.7379457,0.20281079,0.13683357,1.9153912,1.81735,2.00865,1.9135983,2.7486131,327.84935,,Jovian,K,10.046158,8.5578322,0.43034574,0.51091902,0,0,Hot,0,0.30690675,0
HD 22781 b,Radial Velocity,Haute-Provence Observatory,2011,4338.2,Msini,12.3,528.07,1.167,0.8191,,315.92,HD 22781,K1,8.78,32.6034,5027.0,0.75,0.74,-0.37,4.8,-0.476,4.6,18.780287,352.69919,28.674731,2.3312789,0.037906246,1.5584846,0.2111103,2.1228897,1.2979687,0.42777039,170.00731,,Jovian,K,0.33419504,1.5608593,0.50726642,0.42213575,0,0,Cold,0,0.33573725,0
HD 25171 b,Radial Velocity,La Silla Observatory,2010,290.81445,Msini,13.9,1802.29,2.971,0.042,,159.543,HD 25171,F8 V,7.77,55.6146,6125.0,1.08,1.23,-0.12,4.802,0.276,4.26,4.5740467,20.921903,1.5051729,0.10828582,0.18384457,2.9736204,2.846218,3.095782,2.9716555,0.21408098,173.22098,,Jovian,F,1.8879913,3.7099133,3.7779929,0.47672704,0,0,Cold,0,0.23560304,0
HD 6434 b,Radial Velocity,La Silla Observatory,2003,155.7367,Msini,14.2,21.998,0.14,0.17,,163.2,HD 6434,G2/3 V,7.72,42.358,5769.0,1.1,1.12,-0.55,11.27,0.05,4.38,3.3117025,10.967373,0.77235023,0.054390861,0.0060579284,0.142023,0.1162,0.1638,0.14051061,58.091415,699.43143,,Jovian,G,1.1220185,2.8599851,2.0620512,0.55293794,0,0,Hot,0,0.081411713,0
HD 7924 b,Radial Velocity,W. M. Keck Observatory,2008,6.3566,Msini,2.4,5.39792,0.06,0.06,,-8.0,HD 7924,K0.5 V,7.17896,16.9922,5131.0,0.65,0.78,-0.21,0.88,-0.406,4.46,1.6274469,2.6485833,1.1035764,0.4598235,0.0012064283,0.060108,0.0564,0.0636,0.060027032,109.26489,823.0501,929.50576,Superterran,K,0.39264494,1.6918574,0.57825102,0.30334935,0,0,Hot,0,0.24713785,0
kap CrB b,Radial Velocity,Lick Observatory,2007,635.66,Mass,13.4,1253.68,2.5,0.04,60.0,177.6,kap CrB,K0 III-IV,4.79734,30.0651,4840.0,1.33,4.68,0.09,3.42,1.036,3.2,6.8874751,47.437313,3.540098,0.26418642,0.18769566,2.502,2.4,2.6,2.5005003,1.7396733,292.47332,,Jovian,K,10.864256,8.8994622,0.44528922,0.48288799,0,0,Hot,0,0.3618759,0
HD 9446 b,Radial Velocity,Haute-Provence Observatory,2009,222.472,Msini,14.0,30.052,0.189,0.2,,215.0,HD 9446,G5 V,8.35,50.3503,5793.0,1.0,1.0,0.09,,0.041,4.53,3.9863338,15.890857,1.1350612,0.081075802,0.0091642197,0.19278,0.1512,0.2268,0.18995764,31.400805,598.44098,,Jovian,G,1.0990058,2.8305039,2.0816548,0.46133648,0,0,Hot,0,0.096820191,0
GJ 179 b,Radial Velocity,W. M. Keck Observatory,2009,301.93699,Mass,13.8,2288.0,2.41,0.21,61.0,153.0,GJ 179,M3.5 V,11.963,12.356,3370.0,0.36,0.38,0.3,,-1.796,4.83,4.6775519,21.879492,1.5854704,0.11488916,0.17959765,2.4631405,1.9039,2.9161,2.4234815,0.0028168238,58.194221,,Jovian,M,0.01599558,0.34147881,0.023049724,0.32818492,0,0,Cold,0,0.068123643,0
HD 28192 b,Radial Velocity,Multiple Observatories,2022,99.79812,Msini,12.2,14.23283,0.118,0.104,,279.469,HD 28192,,8.06,49.8063,5919.87,1.08,1.07,,,0.103,4.41,2.8601003,8.1801738,0.67050605,0.054959512,0.0047812502,0.11863814,0.105728,0.130272,0.11816011,91.537162,786.34707,,Jovian,G,1.2676519,3.0399313,2.6558892,0.47332457,0,0,Hot,0,0.084257754,0
TOI-836 b,Transit,Transiting Exoplanet Survey Satellite (TESS),2023,4.53,Mass,1.704,3.81673,0.0422,0.053,87.57,9.0,TOI-836,K V,9.92,27.5024,4552.0,0.68,0.67,-0.284,5.4,-0.853,4.74,1.6304756,2.6584507,1.5601237,0.91556552,0.00075216094,0.04225927,0.0399634,0.0444366,0.042214831,78.883455,758.78228,856.92535,Superterran,K,0.14028137,1.0112622,0.21709307,0.41667115,0,0,Hot,0,0.28643901,0
K2-178 b,Transit,K2,2018,12.4,M-R relationship,3.558,8.747818,0.081661487,,88.611,,K2-178,,12.382,214.753,5525.0,0.95,0.89,0.09,,-0.284,4.55,1.8668433,3.485104,0.97951208,0.27529851,0.0019232477,0.081661487,0.081661487,0.081661487,0.081661487,77.976804,756.99161,,Neptunian,G,0.519996,1.9469902,1.2912896,0.4535157,0,0,Hot,0,0.20471662,0
Kepler-1174 b,Transit,Kepler,2016,3.15,M-R relationship,1.59,6.8922522,0.0732,0.0,89.84,,Kepler-1174,,14.271,1408.75,5936.0,1.04,1.04,-0.04,3.55,0.555,4.42,1.4075269,1.9811321,1.245995,0.78364466,0.0010593889,0.0732,0.0732,0.0732,0.0732,669.85043,1295.9677,1463.5918,Terran,G,3.5892193,5.1152135,2.6963817,0.44765215,0,0,Hot,0,0.27683378,0
Kepler-1231 b,Transit,Kepler,2016,2.6,M-R relationship,1.42,10.417252,0.0914,0.0,89.65,,Kepler-1231,,14.808,987.237,5778.0,1.01,1.0,0.06,4.17,0.023,4.44,1.3531393,1.8309859,1.2894267,0.90804697,0.0012529934,0.0914,0.0914,0.0914,0.0914,126.21402,853.84023,964.27837,Terran,G,1.0543869,2.7724503,2.0354358,0.45535975,0,0,Hot,0,0.29327341,0
Kepler-1235 b,Transit,Kepler,2016,0.418,M-R relationship,0.79,4.1605586,0.0491,0.0,89.68,,Kepler-1235,,14.079,540.604,5541.0,0.93,0.9,0.01,4.57,-0.156,4.5,0.72740217,0.52911392,0.66976446,0.84780311,0.00037621074,0.0491,0.0491,0.0491,0.0491,289.62565,1050.8941,1186.8198,Subterran,G,0.6982324,2.2561281,1.3178965,0.44981975,0,0,Hot,0,0.29287642,0
Kepler-1236 b,Transit,Kepler,2016,5.22,M-R relationship,2.14,31.057162,0.1803,0.0,89.72,,Kepler-1236,,16.145,999.64,5337.0,0.86,0.82,-0.09,4.07,-0.379,4.55,1.5618106,2.4392523,1.1398375,0.53263436,0.0032898164,0.1803,0.1803,0.1803,0.1803,12.85312,482.33841,544.72544,Superterran,G,0.41783037,1.7452746,0.90436777,0.42985639,0,0,Hot,0,0.34276709,0
